customer_id,company_name,industry_segment,city,contract_type,credit_limit,current_balance,payment_terms_days,account_status,signup_date,account_manager
ACC0001,Chennai Construction Co.,Manufacturing,Nagpur,Net-45,1537020.47,303063.64,45,active,2022-11-12,R. Iyer
ACC0002,Mysuru Real Estate Developers,Construction,Coimbatore,Net-45,1058534.82,864682.61,45,active,2020-10-22,K. Prasad
ACC0003,Bengaluru MEP Contractors,Real Estate,Bengaluru,Net-30,1319210.33,875778.27,30,active,2021-04-27,M. Fernandes
ACC0004,Vijayawada Infra Projects Ltd,Manufacturing,Coimbatore,Net-30,4542406.74,1219028.92,30,closed,2023-07-19,R. Iyer
ACC0005,Pune Infra Projects Ltd,Utilities,Hyderabad,Net-45,4765680.35,2187849.79,45,active,2023-02-14,A. Sethi
ACC0006,Nagpur Construction Co.,Manufacturing,Vijayawada,Prepaid,4636279.87,3303303.15,0,active,2021-12-21,M. Fernandes
ACC0007,Hyderabad Facility Services,Utilities,Nagpur,Net-45,1679531.64,1464384.91,45,overdue,2021-12-05,M. Fernandes
ACC0008,Nagpur Infra Projects Ltd,Construction,Hyderabad,Net-60,1488834.58,1781108.31,60,delinquent,2023-01-17,S. Nambiar
ACC0009,Hyderabad MEP Contractors,Construction,Nagpur,Prepaid,2199819.4,2053469.69,0,overdue,2024-12-11,K. Prasad
ACC0010,Chennai Manufacturing Plant,Real Estate,Bengaluru,Net-30,2188637.21,507660.29,30,active,2025-04-04,R. Iyer
ACC0011,Pune Construction Co.,MEP/HVAC,Pune,Net-30,123289.37,24234.18,30,closed,2022-07-11,M. Fernandes
ACC0012,Mysuru Infra Projects Ltd,Real Estate,Mysuru,Net-45,3239514.09,184568.1,45,active,2024-10-07,S. Nambiar
ACC0013,Chennai Construction Co.,Real Estate,Hyderabad,Net-30,4863073.49,2996079.87,30,closed,2025-07-18,A. Sethi
ACC0014,Hyderabad Engineering Works,Real Estate,Vijayawada,Prepaid,4734371.97,1021844.73,0,active,2020-04-13,S. Nambiar
ACC0015,Bengaluru Manufacturing Plant,Construction,Vijayawada,Net-60,656104.28,585891.93,60,overdue,2025-04-20,S. Nambiar
ACC0016,Pune MEP Contractors,Construction,Bengaluru,Prepaid,669860.69,295921.86,0,active,2022-08-08,A. Sethi
ACC0017,Mysuru Maintenance Services,Utilities,Pune,Net-45,1642756.44,1104083.91,45,active,2025-05-10,M. Fernandes
ACC0018,Bengaluru Maintenance Services,Facilities Management,Hyderabad,Prepaid,3962424.12,3352947.38,0,active,2021-06-02,R. Iyer
ACC0019,Chennai Builders & Contractors,Facilities Management,Bengaluru,Prepaid,4594808.98,1254353.0,0,active,2022-04-16,S. Nambiar
ACC0020,Pune Engineering Works,MEP/HVAC,Hyderabad,Net-30,289207.2,216767.54,30,active,2021-02-06,A. Sethi
ACC0021,Coimbatore Engineering Works,Manufacturing,Vijayawada,Prepaid,4290116.66,4118545.55,0,overdue,2023-08-09,S. Nambiar
ACC0022,Chennai MEP Contractors,Construction,Chennai,Prepaid,3781926.8,3023782.01,0,active,2022-02-24,A. Sethi
ACC0023,Pune Infra Projects Ltd,Real Estate,Nagpur,Net-30,854697.19,206735.47,30,active,2020-10-12,K. Prasad
ACC0024,Bengaluru Builders & Contractors,Manufacturing,Mysuru,Net-30,1703067.31,1279038.47,30,active,2021-02-06,M. Fernandes
ACC0025,Nagpur Infra Projects Ltd,Real Estate,Mysuru,Net-30,1475885.49,76236.77,30,active,2024-12-12,A. Sethi
ACC0026,Coimbatore Engineering Works,Real Estate,Mysuru,Net-45,4724173.37,2414448.17,45,active,2021-01-20,R. Iyer
ACC0027,Bengaluru Construction Co.,Manufacturing,Coimbatore,Net-60,794627.58,539380.59,60,active,2025-05-02,A. Sethi
ACC0028,Hyderabad Maintenance Services,Construction,Bengaluru,Prepaid,1263253.5,383658.5,0,active,2022-04-11,R. Iyer
ACC0029,Chennai Manufacturing Plant,Real Estate,Chennai,Net-30,2530765.47,3099995.32,30,delinquent,2023-07-21,A. Sethi
ACC0030,Vijayawada Infra Projects Ltd,Construction,Vijayawada,Net-45,3908013.18,2778514.76,45,active,2021-10-29,A. Sethi
ACC0031,Nagpur Facility Services,Facilities Management,Bengaluru,Net-45,4602980.5,2715693.76,45,active,2023-01-01,R. Iyer
ACC0032,Nagpur Facility Services,Construction,Pune,Net-30,1175790.76,598542.04,30,active,2023-02-13,A. Sethi
ACC0033,Coimbatore Real Estate Developers,Construction,Vijayawada,Net-30,515425.23,228488.05,30,active,2021-04-06,R. Iyer
ACC0034,Bengaluru Infra Projects Ltd,Utilities,Chennai,Net-45,856341.43,188970.01,45,active,2024-07-30,R. Iyer
ACC0035,Bengaluru Construction Co.,MEP/HVAC,Vijayawada,Net-45,4853023.07,1721484.87,45,active,2021-06-10,S. Nambiar
ACC0036,Mysuru Construction Co.,MEP/HVAC,Pune,Net-45,2852974.38,3445037.84,45,delinquent,2022-08-06,R. Iyer
ACC0037,Hyderabad MEP Contractors,Construction,Nagpur,Net-45,3591766.12,3132034.17,45,overdue,2024-02-27,R. Iyer
ACC0038,Chennai Infra Projects Ltd,Utilities,Pune,Net-60,1232979.9,1106364.83,60,overdue,2020-08-07,K. Prasad
ACC0039,Mysuru Engineering Works,Utilities,Hyderabad,Prepaid,1124099.25,691626.55,0,active,2024-07-24,S. Nambiar
ACC0040,Pune Facility Services,Utilities,Chennai,Prepaid,1178162.63,525291.06,0,active,2020-05-21,M. Fernandes
ACC0041,Chennai Infra Projects Ltd,Facilities Management,Bengaluru,Prepaid,4846619.56,2178051.04,0,active,2023-12-27,K. Prasad
ACC0042,Hyderabad MEP Contractors,Utilities,Pune,Net-60,1724397.88,2160989.88,60,delinquent,2025-06-18,A. Sethi
ACC0043,Hyderabad Infra Projects Ltd,Facilities Management,Vijayawada,Net-30,2869464.81,2002313.02,30,active,2021-03-16,M. Fernandes
ACC0044,Coimbatore MEP Contractors,Manufacturing,Bengaluru,Net-60,4967334.45,3161749.89,60,active,2025-03-21,K. Prasad
ACC0045,Coimbatore Infra Projects Ltd,MEP/HVAC,Vijayawada,Prepaid,1806731.17,1259589.27,0,active,2022-12-08,R. Iyer
ACC0046,Hyderabad Engineering Works,Real Estate,Bengaluru,Net-60,1203116.91,561771.77,60,active,2020-01-29,M. Fernandes
ACC0047,Vijayawada Builders & Contractors,Facilities Management,Hyderabad,Net-45,1030143.77,277668.74,45,active,2024-09-14,M. Fernandes
ACC0048,Mysuru Construction Co.,Facilities Management,Coimbatore,Prepaid,1927655.34,1447654.21,0,active,2023-02-26,A. Sethi
ACC0049,Pune Construction Co.,Construction,Nagpur,Net-30,147644.82,177175.83,30,delinquent,2021-01-31,S. Nambiar
ACC0050,Mysuru Facility Services,Manufacturing,Coimbatore,Net-30,3670804.48,1373141.95,30,active,2022-08-22,S. Nambiar
ACC0051,Nagpur Construction Co.,Real Estate,Chennai,Net-30,2133363.31,2310620.52,30,delinquent,2025-02-02,S. Nambiar
ACC0052,Nagpur MEP Contractors,Manufacturing,Nagpur,Net-45,2707362.98,1209841.17,45,active,2020-03-25,M. Fernandes
ACC0053,Chennai Real Estate Developers,Construction,Bengaluru,Net-45,4457981.51,4787274.43,45,delinquent,2022-02-10,M. Fernandes
ACC0054,Mysuru Builders & Contractors,MEP/HVAC,Vijayawada,Net-45,203183.66,123265.16,45,active,2022-12-23,S. Nambiar
ACC0055,Mysuru Manufacturing Plant,Facilities Management,Chennai,Prepaid,2457512.8,2638565.83,0,delinquent,2023-01-16,A. Sethi
ACC0056,Pune Engineering Works,Real Estate,Chennai,Net-30,387851.94,284051.76,30,active,2021-01-24,K. Prasad
ACC0057,Nagpur Engineering Works,Manufacturing,Hyderabad,Net-45,4638441.37,4094311.0,45,overdue,2020-03-05,A. Sethi
ACC0058,Hyderabad Builders & Contractors,Manufacturing,Pune,Net-30,1334491.07,126696.28,30,active,2024-11-24,A. Sethi
ACC0059,Pune Construction Co.,Construction,Chennai,Net-45,2525841.67,2678504.49,45,delinquent,2022-10-15,K. Prasad
ACC0060,Hyderabad Infra Projects Ltd,Construction,Chennai,Net-45,1009438.47,650609.12,45,active,2021-08-14,R. Iyer
ACC0061,Mysuru Infra Projects Ltd,Utilities,Coimbatore,Prepaid,2319969.61,144731.76,0,active,2024-02-19,A. Sethi
ACC0062,Hyderabad MEP Contractors,Construction,Vijayawada,Net-45,3660179.97,4354931.27,45,delinquent,2022-01-17,K. Prasad
