supplier_id,supplier_name,category_supplied,avg_lead_time_days,reliability_score,price_volatility_index,active_flag
SUP001,Ashoka Steel Works,Bearings,22,0.78,0.29,1
SUP002,Bharat Fastener Co.,Adhesives & Sealants,37,0.79,0.08,1
SUP003,Precision Bearings Ltd,Bearings,38,0.83,0.11,1
SUP004,Voltek Electricals,Fasteners,20,0.8,0.11,1
SUP005,SafeGuard PPE Manufacturing,Safety Equipment,28,0.96,0.3,1
SUP006,Deccan Plumbing Supplies,Bearings,16,0.86,0.13,1
SUP007,Titan Tools India,Adhesives & Sealants,14,0.97,0.05,1
SUP008,Sunrise Adhesives,Electrical Components,19,0.88,0.19,1
SUP009,National Pipe & Fittings,Pipes & Fittings,25,0.75,0.1,0
SUP010,LumaTech Lighting,Hand Tools,29,0.72,0.22,1
SUP011,Everest Hardware,Hand Tools,21,0.9,0.26,1
SUP012,Coastal Metal Traders,Plumbing Supplies,40,0.93,0.22,1
SUP013,Apex Industrial Components,Fasteners,38,0.97,0.22,1
SUP014,Vishal Steel Traders,Adhesives & Sealants,35,0.73,0.15,0
SUP015,Krishna Tools & Dies,Bearings,7,0.84,0.06,1
